W.L,Weight.class,Method,Round,Time,Fighter1,Fighter2,Fight_url,Date,Kd1,SigStrikes1,TotStrikes1,Td1,SubAtt1,Pass1,Rev1,Kd2,SigStrikes2,TotStrikes2,Td2,SubAtt2,Pass2,Rev2,Head1,Body1,Leg1,Distance1,Clinch1,Ground1,Head2,Body2,Leg2,Distance2,Clinch2,Ground2
win,Lightweight,KO/TKO,3,2:08,Dustin Poirier,Anthony Pettis,http://www.fightmetric.com/fight-details/b55605791a4d72b9,"November 11, 2017","
      0
    ","
      53 of 100
    ","
      71 of 119
    ","
      5 of 6
    ","
      0
    ","
      3
    ","
      0
    ","
      0
    ","
      34 of 54
    ","
      46 of 66
    ","
      1 of 1
    ","
      4
    ","
      2
    ","
      2
    ","
      47 of 92
    ","
      5 of 6
    ","
      1 of 2
    ","
      25 of 62
    ","
      8 of 10
    ","
      20 of 28
    ","
      29 of 45
    ","
      3 of 7
    ","
      2 of 2
    ","
      23 of 43
    ","
      1 of 1
    ","
      10 of 10
    "
win,Welterweight,"KO/TKO

      

      
        Elbow",1,3:44,Matt Brown,Diego Sanchez,http://www.fightmetric.com/fight-details/b6b5ec324449befd,"November 11, 2017","
      1
    ","
      18 of 34
    ","
      20 of 36
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      12 of 20
    ","
      13 of 21
    ","
      0 of 3
    ","
      0
    ","
      0
    ","
      0
    ","
      14 of 30
    ","
      2 of 2
    ","
      2 of 2
    ","
      12 of 28
    ","
      6 of 6
    ","
      0 of 0
    ","
      7 of 12
    ","
      2 of 5
    ","
      3 of 3
    ","
      10 of 18
    ","
      2 of 2
    ","
      0 of 0
    "
win,Heavyweight,U-DEC,3,5:00,Andrei Arlovski,Junior Albini,http://www.fightmetric.com/fight-details/603354ffe9cc0755,"November 11, 2017","
      0
    ","
      48 of 106
    ","
      74 of 133
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      92 of 203
    ","
      106 of 217
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      35 of 88
    ","
      6 of 10
    ","
      7 of 8
    ","
      37 of 92
    ","
      11 of 14
    ","
      0 of 0
    ","
      52 of 157
    ","
      27 of 33
    ","
      13 of 13
    ","
      81 of 190
    ","
      11 of 13
    ","
      0 of 0
    "
win,Middleweight,S-DEC,3,5:00,Cezar Ferreira,Nate Marquardt,http://www.fightmetric.com/fight-details/7ad85c84025c0db0,"November 11, 2017","
      1
    ","
      36 of 65
    ","
      51 of 82
    ","
      0 of 2
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      47 of 81
    ","
      96 of 135
    ","
      2 of 4
    ","
      0
    ","
      1
    ","
      0
    ","
      22 of 49
    ","
      8 of 9
    ","
      6 of 7
    ","
      23 of 51
    ","
      7 of 8
    ","
      6 of 6
    ","
      14 of 41
    ","
      15 of 21
    ","
      18 of 19
    ","
      35 of 68
    ","
      1 of 2
    ","
      11 of 11
    "
win,Bantamweight,"KO/TKO

      

      
        Punch",3,1:50,Raphael Assuncao,Matthew Lopez,http://www.fightmetric.com/fight-details/151c597d2e609a4e,"November 11, 2017","
      1
    ","
      46 of 154
    ","
      48 of 156
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      34 of 93
    ","
      36 of 95
    ","
      1 of 4
    ","
      0
    ","
      0
    ","
      0
    ","
      24 of 123
    ","
      6 of 12
    ","
      16 of 19
    ","
      45 of 153
    ","
      1 of 1
    ","
      0 of 0
    ","
      16 of 68
    ","
      12 of 19
    ","
      6 of 6
    ","
      34 of 93
    ","
      0 of 0
    ","
      0 of 0
    "
win,Lightweight,"KO/TKO

      

      
        Punch",1,1:07,Clay Guida,Joe Lauzon,http://www.fightmetric.com/fight-details/935f559ab0521c27,"November 11, 2017","
      0
    ","
      1 of 7
    ","
      1 of 7
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      24 of 40
    ","
      31 of 48
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      1 of 7
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 7
    ","
      0 of 0
    ","
      0 of 0
    ","
      20 of 36
    ","
      1 of 1
    ","
      3 of 3
    ","
      6 of 10
    ","
      0 of 0
    ","
      18 of 30
    "
win,Bantamweight,S-DEC,3,5:00,Marlon Moraes,John Dodson,http://www.fightmetric.com/fight-details/5519d7fe2cee8353,"November 11, 2017","
      1
    ","
      43 of 105
    ","
      47 of 109
    ","
      2 of 4
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      45 of 131
    ","
      45 of 131
    ","
      1 of 2
    ","
      1
    ","
      0
    ","
      0
    ","
      24 of 83
    ","
      15 of 18
    ","
      4 of 4
    ","
      40 of 101
    ","
      2 of 3
    ","
      1 of 1
    ","
      21 of 92
    ","
      15 of 23
    ","
      9 of 16
    ","
      45 of 131
    ","
      0 of 0
    ","
      0 of 0
    "
win,Women's Strawweight,U-DEC,3,5:00,Tatiana Suarez,Viviane Pereira,http://www.fightmetric.com/fight-details/5db3e2fdd18129a4,"November 11, 2017","
      0
    ","
      71 of 106
    ","
      144 of 197
    ","
      4 of 5
    ","
      0
    ","
      13
    ","
      0
    ","
      0
    ","
      13 of 23
    ","
      69 of 104
    ","
      0 of 0
    ","
      1
    ","
      0
    ","
      0
    ","
      45 of 77
    ","
      14 of 15
    ","
      12 of 14
    ","
      11 of 30
    ","
      3 of 4
    ","
      57 of 72
    ","
      10 of 18
    ","
      2 of 4
    ","
      1 of 1
    ","
      7 of 14
    ","
      2 of 3
    ","
      4 of 6
    "
win,Lightweight,U-DEC,3,5:00,Sage Northcutt,Michel Quinones,http://www.fightmetric.com/fight-details/60de5efe5b439c8b,"November 11, 2017","
      0
    ","
      79 of 161
    ","
      82 of 166
    ","
      3 of 5
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      55 of 161
    ","
      55 of 161
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      45 of 113
    ","
      15 of 24
    ","
      19 of 24
    ","
      77 of 159
    ","
      2 of 2
    ","
      0 of 0
    ","
      13 of 103
    ","
      9 of 17
    ","
      33 of 41
    ","
      55 of 161
    ","
      0 of 0
    ","
      0 of 0
    "
win,Women's Strawweight,U-DEC,3,5:00,Nina Ansaroff,Angela Hill,http://www.fightmetric.com/fight-details/7006a98fe9944571,"November 11, 2017","
      0
    ","
      107 of 230
    ","
      108 of 233
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      143 of 309
    ","
      146 of 312
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      68 of 173
    ","
      18 of 31
    ","
      21 of 26
    ","
      99 of 222
    ","
      8 of 8
    ","
      0 of 0
    ","
      81 of 230
    ","
      23 of 35
    ","
      39 of 44
    ","
      135 of 293
    ","
      7 of 14
    ","
      1 of 2
    "
win,Welterweight,U-DEC,3,5:00,Sean Strickland,Court McGee,http://www.fightmetric.com/fight-details/d3c78cc516417797,"November 11, 2017","
      0
    ","
      62 of 260
    ","
      104 of 309
    ","
      0 of 11
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      78 of 254
    ","
      109 of 288
    ","
      3 of 3
    ","
      1
    ","
      3
    ","
      0
    ","
      19 of 180
    ","
      15 of 42
    ","
      28 of 38
    ","
      59 of 255
    ","
      3 of 4
    ","
      0 of 1
    ","
      77 of 247
    ","
      1 of 7
    ","
      0 of 0
    ","
      65 of 234
    ","
      1 of 3
    ","
      12 of 17
    "
win,Light Heavyweight,U-DEC,3,5:00,Jake Collier,Marcel Fortuna,http://www.fightmetric.com/fight-details/78e554aa129711ba,"November 11, 2017","
      0
    ","
      94 of 247
    ","
      124 of 279
    ","
      0 of 2
    ","
      0
    ","
      0
    ","
      2
    ","
      0
    ","
      59 of 140
    ","
      65 of 146
    ","
      1 of 9
    ","
      1
    ","
      3
    ","
      0
    ","
      55 of 199
    ","
      19 of 26
    ","
      20 of 22
    ","
      88 of 235
    ","
      2 of 7
    ","
      4 of 5
    ","
      49 of 122
    ","
      9 of 15
    ","
      1 of 3
    ","
      54 of 132
    ","
      5 of 7
    ","
      0 of 1
    "
win,Middleweight,"SUB

      

      
        Rear Naked Choke",1,3:41,Karl Roberson,Darren Stewart,http://www.fightmetric.com/fight-details/4b202bae6c87b98b,"November 11, 2017","
      0
    ","
      6 of 20
    ","
      6 of 20
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      17 of 23
    ","
      21 of 29
    ","
      1 of 1
    ","
      2
    ","
      1
    ","
      0
    ","
      3 of 9
    ","
      0 of 3
    ","
      3 of 8
    ","
      4 of 18
    ","
      2 of 2
    ","
      0 of 0
    ","
      12 of 17
    ","
      5 of 6
    ","
      0 of 0
    ","
      5 of 9
    ","
      9 of 9
    ","
      3 of 5
    "
win,Middleweight,"SUB

      

      
        Rear Naked Choke",3,4:23,Georges St-Pierre,Michael Bisping,http://www.fightmetric.com/fight-details/d361b51952944a26,"November 04, 2017","
      0
    ","
      27 of 106
    ","
      49 of 128
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      59 of 119
    ","
      68 of 131
    ","
      3 of 4
    ","
      1
    ","
      2
    ","
      0
    ","
      20 of 92
    ","
      1 of 6
    ","
      6 of 8
    ","
      25 of 104
    ","
      0 of 0
    ","
      2 of 2
    ","
      41 of 92
    ","
      5 of 12
    ","
      13 of 15
    ","
      39 of 92
    ","
      1 of 1
    ","
      19 of 26
    "
win,Bantamweight,"KO/TKO

      

      
        Punch",2,2:41,TJ Dillashaw,Cody Garbrandt,http://www.fightmetric.com/fight-details/b3a304eadb9f7fb4,"November 04, 2017","
      1
    ","
      18 of 53
    ","
      19 of 54
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      2
    ","
      20 of 81
    ","
      23 of 85
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      16 of 47
    ","
      2 of 5
    ","
      0 of 1
    ","
      17 of 50
    ","
      0 of 0
    ","
      1 of 3
    ","
      12 of 49
    ","
      1 of 12
    ","
      7 of 20
    ","
      14 of 74
    ","
      0 of 0
    ","
      6 of 7
    "
win,Women's Strawweight,"KO/TKO

      

      
        Punch",1,3:03,Rose Namajunas,Joanna Jedrzejczyk,http://www.fightmetric.com/fight-details/fc29884851f9cebb,"November 04, 2017","
      0
    ","
      5 of 42
    ","
      5 of 42
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      15 of 34
    ","
      18 of 37
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      2 of 37
    ","
      1 of 2
    ","
      2 of 3
    ","
      5 of 42
    ","
      0 of 0
    ","
      0 of 0
    ","
      14 of 32
    ","
      0 of 0
    ","
      1 of 2
    ","
      8 of 23
    ","
      0 of 1
    ","
      7 of 10
    "
win,Welterweight,U-DEC,3,5:00,Stephen Thompson,Jorge Masvidal,http://www.fightmetric.com/fight-details/80572cac6ab57866,"November 04, 2017","
      1
    ","
      70 of 156
    ","
      70 of 156
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      42 of 142
    ","
      42 of 142
    ","
      0 of 2
    ","
      0
    ","
      0
    ","
      0
    ","
      49 of 117
    ","
      17 of 34
    ","
      4 of 5
    ","
      70 of 155
    ","
      0 of 1
    ","
      0 of 0
    ","
      9 of 79
    ","
      5 of 13
    ","
      28 of 50
    ","
      39 of 137
    ","
      3 of 5
    ","
      0 of 0
    "
win,Middleweight,"KO/TKO

      

      
        Punches",2,1:23,Paulo Costa,Johny Hendricks,http://www.fightmetric.com/fight-details/0a46cb2887890502,"November 04, 2017","
      0
    ","
      27 of 54
    ","
      27 of 54
    ","
      0 of 4
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      49 of 90
    ","
      49 of 90
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      10 of 32
    ","
      2 of 2
    ","
      15 of 20
    ","
      27 of 52
    ","
      0 of 2
    ","
      0 of 0
    ","
      25 of 62
    ","
      23 of 26
    ","
      1 of 2
    ","
      45 of 84
    ","
      3 of 4
    ","
      1 of 2
    "
win,Lightweight,"KO/TKO

      

      
        Punch",2,4:59,James Vick,Joe Duffy,http://www.fightmetric.com/fight-details/13635ba71963ad0c,"November 04, 2017","
      1
    ","
      42 of 137
    ","
      43 of 138
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      25 of 66
    ","
      26 of 67
    ","
      2 of 2
    ","
      0
    ","
      0
    ","
      0
    ","
      27 of 107
    ","
      10 of 21
    ","
      5 of 9
    ","
      34 of 126
    ","
      4 of 4
    ","
      4 of 7
    ","
      9 of 42
    ","
      7 of 14
    ","
      9 of 10
    ","
      24 of 64
    ","
      1 of 2
    ","
      0 of 0
    "
win,Heavyweight,DQ,1,4:29,Mark Godbeer,Walt Harris,http://www.fightmetric.com/fight-details/8375f311e8c6c079,"November 04, 2017","
      0
    ","
      21 of 38
    ","
      34 of 53
    ","
      1 of 1
    ","
      0
    ","
      3
    ","
      0
    ","
      0
    ","
      3 of 15
    ","
      9 of 22
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      17 of 31
    ","
      4 of 7
    ","
      0 of 0
    ","
      5 of 19
    ","
      1 of 1
    ","
      15 of 18
    ","
      2 of 13
    ","
      1 of 1
    ","
      0 of 1
    ","
      2 of 14
    ","
      1 of 1
    ","
      0 of 0
    "
win,Light Heavyweight,"KO/TKO

      

      
        Kick",3,1:25,Ovince Saint Preux,Corey Anderson,http://www.fightmetric.com/fight-details/5cab50839f4a0d94,"November 04, 2017","
      1
    ","
      23 of 49
    ","
      30 of 56
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      30 of 45
    ","
      60 of 87
    ","
      4 of 10
    ","
      0
    ","
      0
    ","
      0
    ","
      17 of 41
    ","
      3 of 5
    ","
      3 of 3
    ","
      17 of 42
    ","
      6 of 7
    ","
      0 of 0
    ","
      19 of 31
    ","
      6 of 8
    ","
      5 of 6
    ","
      14 of 25
    ","
      10 of 14
    ","
      6 of 6
    "
win,Welterweight,U-DEC,3,5:00,Randy Brown,Mickey Gall,http://www.fightmetric.com/fight-details/e686df21c24c6c03,"November 04, 2017","
      0
    ","
      41 of 70
    ","
      60 of 99
    ","
      1 of 1
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      7 of 16
    ","
      57 of 74
    ","
      0 of 2
    ","
      2
    ","
      4
    ","
      1
    ","
      35 of 64
    ","
      3 of 3
    ","
      3 of 3
    ","
      7 of 22
    ","
      4 of 5
    ","
      30 of 43
    ","
      7 of 16
    ","
      0 of 0
    ","
      0 of 0
    ","
      3 of 11
    ","
      0 of 0
    ","
      4 of 5
    "
win,Heavyweight,KO/TKO,2,1:39,Curtis Blaydes,Aleksei Oleinik,http://www.fightmetric.com/fight-details/8c2fb17981464d8c,"November 04, 2017","
      0
    ","
      34 of 68
    ","
      41 of 75
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      39 of 101
    ","
      50 of 112
    ","
      4 of 4
    ","
      0
    ","
      1
    ","
      0
    ","
      22 of 53
    ","
      5 of 7
    ","
      7 of 8
    ","
      27 of 57
    ","
      7 of 11
    ","
      0 of 0
    ","
      33 of 95
    ","
      2 of 2
    ","
      4 of 4
    ","
      24 of 85
    ","
      11 of 11
    ","
      4 of 5
    "
win,Bantamweight,"KO/TKO

      

      
        Elbow",3,1:58,Ricardo Ramos,Aiemann Zahabi,http://www.fightmetric.com/fight-details/56d8cc470841f454,"November 04, 2017","
      0
    ","
      46 of 105
    ","
      47 of 106
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      1
    ","
      1
    ","
      42 of 94
    ","
      45 of 97
    ","
      3 of 5
    ","
      0
    ","
      1
    ","
      0
    ","
      38 of 95
    ","
      8 of 10
    ","
      0 of 0
    ","
      39 of 96
    ","
      7 of 9
    ","
      0 of 0
    ","
      30 of 74
    ","
      3 of 8
    ","
      9 of 12
    ","
      38 of 89
    ","
      0 of 1
    ","
      4 of 4
    "
win,Middleweight,"KO/TKO

      

      
        Punch",1,2:30,Derek Brunson,Lyoto Machida,http://www.fightmetric.com/fight-details/405c0b8d3960016d,"October 28, 2017","
      1
    ","
      10 of 24
    ","
      10 of 24
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      3 of 10
    ","
      3 of 10
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      8 of 17
    ","
      0 of 1
    ","
      2 of 6
    ","
      5 of 19
    ","
      0 of 0
    ","
      5 of 5
    ","
      2 of 6
    ","
      1 of 2
    ","
      0 of 2
    ","
      3 of 10
    ","
      0 of 0
    ","
      0 of 0
    "
win,Welterweight,U-DEC,3,5:00,Colby Covington,Demian Maia,http://www.fightmetric.com/fight-details/7a5baef71925258c,"October 28, 2017","
      0
    ","
      53 of 151
    ","
      59 of 157
    ","
      0 of 13
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      88 of 317
    ","
      121 of 351
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      53 of 149
    ","
      0 of 1
    ","
      0 of 1
    ","
      51 of 148
    ","
      2 of 3
    ","
      0 of 0
    ","
      65 of 286
    ","
      1 of 4
    ","
      22 of 27
    ","
      81 of 304
    ","
      4 of 8
    ","
      3 of 5
    "
win,Bantamweight,"SUB

      

      
        Guillotine Choke",1,4:03,Pedro Munhoz,Rob Font,http://www.fightmetric.com/fight-details/0b557aeb2169b59f,"October 28, 2017","
      0
    ","
      20 of 48
    ","
      20 of 48
    ","
      0 of 1
    ","
      1
    ","
      1
    ","
      1
    ","
      0
    ","
      30 of 68
    ","
      30 of 68
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      11 of 32
    ","
      1 of 4
    ","
      8 of 12
    ","
      20 of 48
    ","
      0 of 0
    ","
      0 of 0
    ","
      23 of 52
    ","
      6 of 15
    ","
      1 of 1
    ","
      30 of 68
    ","
      0 of 0
    ","
      0 of 0
    "
win,Lightweight,U-DEC,3,5:00,Francisco Trinaldo,Jim Miller,http://www.fightmetric.com/fight-details/bed03663bc577f02,"October 28, 2017","
      0
    ","
      63 of 140
    ","
      84 of 165
    ","
      1 of 1
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      34 of 80
    ","
      61 of 109
    ","
      1 of 5
    ","
      0
    ","
      0
    ","
      0
    ","
      40 of 116
    ","
      18 of 19
    ","
      5 of 5
    ","
      41 of 110
    ","
      9 of 11
    ","
      13 of 19
    ","
      18 of 57
    ","
      8 of 12
    ","
      8 of 11
    ","
      26 of 69
    ","
      3 of 5
    ","
      5 of 6
    "
win,Middleweight,"KO/TKO

      

      
        Punch",1,4:59,Thiago Santos,Jack Hermansson,http://www.fightmetric.com/fight-details/23ea24013d15c09c,"October 28, 2017","
      1
    ","
      28 of 79
    ","
      29 of 80
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      5 of 28
    ","
      5 of 28
    ","
      0 of 2
    ","
      0
    ","
      0
    ","
      0
    ","
      22 of 66
    ","
      5 of 9
    ","
      1 of 4
    ","
      17 of 56
    ","
      4 of 7
    ","
      7 of 16
    ","
      4 of 21
    ","
      0 of 3
    ","
      1 of 4
    ","
      5 of 28
    ","
      0 of 0
    ","
      0 of 0
    "
win,Bantamweight,U-DEC,3,5:00,John Lineker,Marlon Vera,http://www.fightmetric.com/fight-details/d4eb3614c7734781,"October 28, 2017","
      0
    ","
      77 of 171
    ","
      93 of 188
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      49 of 117
    ","
      50 of 118
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      33 of 96
    ","
      33 of 58
    ","
      11 of 17
    ","
      58 of 144
    ","
      7 of 12
    ","
      12 of 15
    ","
      21 of 68
    ","
      10 of 24
    ","
      18 of 25
    ","
      43 of 108
    ","
      6 of 9
    ","
      0 of 0
    "
win,Welterweight,"SUB

      

      
        D'Arce Choke",2,4:08,Vicente Luque,Niko Price,http://www.fightmetric.com/fight-details/4838bf4ca76c1c6b,"October 28, 2017","
      1
    ","
      61 of 113
    ","
      61 of 113
    ","
      0 of 0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      25 of 99
    ","
      26 of 100
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      39 of 86
    ","
      3 of 6
    ","
      19 of 21
    ","
      57 of 104
    ","
      1 of 1
    ","
      3 of 8
    ","
      21 of 90
    ","
      0 of 4
    ","
      4 of 5
    ","
      24 of 95
    ","
      1 of 4
    ","
      0 of 0
    "
win,Middleweight,"SUB

      

      
        Rear Naked Choke",1,4:30,Antonio Carlos Junior,Jack Marshman,http://www.fightmetric.com/fight-details/72d703db67371e1d,"October 28, 2017","
      0
    ","
      11 of 27
    ","
      35 of 51
    ","
      1 of 1
    ","
      1
    ","
      3
    ","
      0
    ","
      0
    ","
      1 of 15
    ","
      4 of 18
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      9 of 23
    ","
      0 of 2
    ","
      2 of 2
    ","
      5 of 16
    ","
      0 of 1
    ","
      6 of 10
    ","
      0 of 13
    ","
      1 of 1
    ","
      0 of 1
    ","
      1 of 15
    ","
      0 of 0
    ","
      0 of 0
    "
win,Lightweight,U-DEC,3,5:00,Jared Gordon,Hacran Dias,http://www.fightmetric.com/fight-details/f9e07282f3444d09,"October 28, 2017","
      0
    ","
      32 of 106
    ","
      41 of 115
    ","
      0 of 3
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      101 of 210
    ","
      163 of 285
    ","
      2 of 7
    ","
      0
    ","
      4
    ","
      0
    ","
      28 of 98
    ","
      2 of 6
    ","
      2 of 2
    ","
      31 of 103
    ","
      1 of 3
    ","
      0 of 0
    ","
      92 of 191
    ","
      9 of 19
    ","
      0 of 0
    ","
      29 of 112
    ","
      11 of 15
    ","
      61 of 83
    "
win,Welterweight,U-DEC,3,5:00,Elizeu Zaleski dos Santos,Max Griffin,http://www.fightmetric.com/fight-details/9dd9affa41eead4c,"October 28, 2017","
      0
    ","
      84 of 176
    ","
      94 of 186
    ","
      0 of 5
    ","
      0
    ","
      1
    ","
      0
    ","
      2
    ","
      51 of 133
    ","
      61 of 144
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      56 of 137
    ","
      19 of 28
    ","
      9 of 11
    ","
      42 of 112
    ","
      33 of 47
    ","
      9 of 17
    ","
      41 of 110
    ","
      8 of 20
    ","
      2 of 3
    ","
      32 of 100
    ","
      13 of 25
    ","
      6 of 8
    "
win,Flyweight,S-DEC,3,5:00,Deiveson Figueiredo,Jarred Brooks,http://www.fightmetric.com/fight-details/e11e290d816c119b,"October 28, 2017","
      0
    ","
      19 of 48
    ","
      22 of 52
    ","
      1 of 4
    ","
      5
    ","
      0
    ","
      0
    ","
      0
    ","
      30 of 52
    ","
      82 of 112
    ","
      7 of 11
    ","
      0
    ","
      0
    ","
      0
    ","
      9 of 31
    ","
      10 of 17
    ","
      0 of 0
    ","
      12 of 40
    ","
      7 of 8
    ","
      0 of 0
    ","
      26 of 46
    ","
      4 of 5
    ","
      0 of 1
    ","
      6 of 21
    ","
      7 of 10
    ","
      17 of 21
    "
win,Heavyweight,"SUB

      

      
        Rear Naked Choke",1,2:08,Marcelo Golm,Christian Colombo,http://www.fightmetric.com/fight-details/4ffd88b2f00f4250,"October 28, 2017","
      0
    ","
      35 of 54
    ","
      47 of 70
    ","
      1 of 1
    ","
      1
    ","
      2
    ","
      0
    ","
      0
    ","
      2 of 8
    ","
      4 of 10
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      32 of 51
    ","
      1 of 1
    ","
      2 of 2
    ","
      7 of 14
    ","
      8 of 17
    ","
      20 of 23
    ","
      1 of 7
    ","
      1 of 1
    ","
      0 of 0
    ","
      1 of 7
    ","
      1 of 1
    ","
      0 of 0
    "
win,Welterweight,"KO/TKO

      

      
        Punch",1,4:20,Darren Till,Donald Cerrone,http://www.fightmetric.com/fight-details/aa7b1fca60a21f3a,"October 21, 2017","
      0
    ","
      14 of 24
    ","
      14 of 24
    ","
      1 of 2
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      24 of 55
    ","
      24 of 55
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      2 of 8
    ","
      5 of 8
    ","
      7 of 8
    ","
      13 of 23
    ","
      1 of 1
    ","
      0 of 0
    ","
      23 of 54
    ","
      0 of 0
    ","
      1 of 1
    ","
      18 of 40
    ","
      4 of 11
    ","
      2 of 4
    "
win,Women's Strawweight,U-DEC,3,5:00,Karolina Kowalkiewicz,Jodie Esquibel,http://www.fightmetric.com/fight-details/d71ad0033de24fff,"October 21, 2017","
      0
    ","
      127 of 333
    ","
      142 of 348
    ","
      1 of 2
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      65 of 175
    ","
      66 of 176
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      95 of 284
    ","
      28 of 44
    ","
      4 of 5
    ","
      95 of 294
    ","
      27 of 34
    ","
      5 of 5
    ","
      37 of 116
    ","
      17 of 48
    ","
      11 of 11
    ","
      57 of 166
    ","
      4 of 5
    ","
      4 of 4
    "
win,Light Heavyweight,"SUB

      

      
        Rear Naked Choke",2,3:02,Jan Blachowicz,Devin Clark,http://www.fightmetric.com/fight-details/6a315ef5bf22af29,"October 21, 2017","
      0
    ","
      33 of 44
    ","
      50 of 63
    ","
      1 of 1
    ","
      1
    ","
      1
    ","
      0
    ","
      0
    ","
      15 of 43
    ","
      31 of 60
    ","
      0 of 2
    ","
      0
    ","
      0
    ","
      0
    ","
      14 of 23
    ","
      14 of 16
    ","
      5 of 5
    ","
      21 of 32
    ","
      7 of 7
    ","
      5 of 5
    ","
      6 of 28
    ","
      1 of 5
    ","
      8 of 10
    ","
      10 of 37
    ","
      5 of 6
    ","
      0 of 0
    "
win,Middleweight,U-DEC,3,5:00,Oskar Piechota,Jonathan Wilson,http://www.fightmetric.com/fight-details/fdfc700e56575d67,"October 21, 2017","
      1
    ","
      56 of 93
    ","
      80 of 121
    ","
      1 of 3
    ","
      3
    ","
      3
    ","
      0
    ","
      0
    ","
      17 of 60
    ","
      17 of 60
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      40 of 72
    ","
      8 of 12
    ","
      8 of 9
    ","
      30 of 64
    ","
      12 of 13
    ","
      14 of 16
    ","
      9 of 50
    ","
      2 of 3
    ","
      6 of 7
    ","
      17 of 60
    ","
      0 of 0
    ","
      0 of 0
    "
win,Lightweight,U-DEC,3,5:00,Marcin Held,Nasrat Haqparast,http://www.fightmetric.com/fight-details/61070325bb440f58,"October 21, 2017","
      0
    ","
      19 of 89
    ","
      59 of 137
    ","
      3 of 10
    ","
      1
    ","
      3
    ","
      0
    ","
      1
    ","
      27 of 75
    ","
      43 of 94
    ","
      1 of 1
    ","
      0
    ","
      1
    ","
      0
    ","
      17 of 84
    ","
      1 of 4
    ","
      1 of 1
    ","
      15 of 80
    ","
      0 of 1
    ","
      4 of 8
    ","
      18 of 63
    ","
      5 of 7
    ","
      4 of 5
    ","
      24 of 70
    ","
      2 of 3
    ","
      1 of 2
    "
